Conf,conf_z
Big East,2.0829954257165264
SEC,2.0829954257165264
Big Ten,2.0829954257165264
ACC,1.7207353516788697
B12,1.7207353516788697
Mountain West,1.2377219196286608
AAC,0.6339551295658994
WCC,0.6339551295658994
A10,0.6339551295658994
MVC,0.27169505552824263
CUSA,0.27169505552824263
WAC,-0.09056501850941415
Sun Belt,-0.09056501850941415
Big West,-0.6943318085721755
Summit League,-0.6943318085721755
Ivy League,-0.6943318085721755
Horizon,-0.6943318085721755
AEC,-0.6943318085721755
ASUN,-0.6943318085721755
CAA,-0.6943318085721755
Patriot,-0.6943318085721755
MAAC,-0.6943318085721755
SoCon,-0.6943318085721755
MEAC,-0.6943318085721755
Big Sky,-0.6943318085721755
MAC,-0.6943318085721755
Southland,-0.6943318085721755
Big South,-0.6943318085721755
OVC,-0.6943318085721755
SWAC,-0.6943318085721755
NEC,-0.6943318085721755
Evansville,-0.6943318085721755
