Name,School,Rating
Ryan Kalkbrenner,Creighton,99
Johni Broome,Auburn,98
Collin Murray-Boyles,South Carolina,97
Cooper Flagg,Duke,96
Zakai Zeigler,Tennessee,96
Zuby Ejiofor,St. John's,96
Kam Jones,Marquette,95
Walter Clayton Jr.,Florida,95
Hunter Dickinson,Kansas,94
Bruce Thornton,Ohio St.,94
Oumar Ballo,Indiana,94
Derik Queen,Maryland,94
Ja'Kobi Gillespie,Maryland,94
Trey Kaufman-Renn,Purdue,93
Vladislav Goldin,Michigan,93
Dylan Harper,Rutgers,93
Danny Wolf,Michigan,93
Nate Bittle,Oregon,93
Julian Reese,Maryland,93
Thomas Sorber,Georgetown,93
Braden Smith,Purdue,93
Mark Sears,Alabama,93
Chucky Hepburn,Louisville,92
Sean Pedulla,Mississippi,92
Steven Ashworth,Creighton,92
Zach Freemantle,Xavier,92
Chad Baker-Mazara,Auburn,92
Kasparas Jakucionis,Illinois,92
Owen Freeman,Iowa,92
John Tonje,Wisconsin,92
Norchad Omier,Baylor,91
Darrion Williams,Texas Tech,91
Kon Knueppel,Duke,91
Adou Thiero,Arkansas,91
Brice Williams,Nebraska,91
Alex Condon,Florida,91
Alex Karaban,Connecticut,91
Amari Williams,Kentucky,91
Donovan Dent,New Mexico,90
Ian Schieffelin,Clemson,90
Milos Uzan,Houston,90
Curtis Jones,Iowa St.,90
Alijah Martin,Florida,90
Eric Dixon,Villanova,90
Dawson Garcia,Minnesota,90
KeShawn Murphy,Mississippi St.,90
Nelly Joseph,New Mexico,89
Caleb Love,Arizona,89
David N'Guessan,Kansas St.,89
Tamin Lipsey,Iowa St.,89
Javon Small,West Virginia,89
Maxime Raynaud,Stanford,89
Chase Hunter,Clemson,89
LJ Cryer,Houston,89
Grant Nelson,Alabama,89
Tomislav Ivisic,Illinois,89
Chaney Johnson,Auburn,89
Arthur Kaluma,Texas,89
Josh Hubbard,Mississippi St.,89
Yaxel Lendeborg,UAB,88
Nique Clifford,Colorado St.,88
RJ Davis,North Carolina,88
Tucker DeVries,West Virginia,88
Jaden Bradley,Arizona,88
Keshon Gilbert,Iowa St.,88
Devin McGlockton,Vanderbilt,88
Otega Oweh,Kentucky,88
Tre Donaldson,Michigan,88
RJ Luis Jr.,St. John's,88
Payton Sandfort,Iowa,88
Andrew Carr,Kentucky,88
Igor Milicic Jr.,Tennessee,88
Thomas Haugh,Florida,88
Jamiya Neal,Creighton,88
Jordan Gainey,Tennessee,88
Matthew Murrell,Mississippi,88
Jaylen Murray,Mississippi,88
Josh Dix,Iowa,88
Jeremiah Fears,Oklahoma,88
Cedric Coward,Washington St.,87
Ryan Nembhard,Gonzaga,87
Alvaro Cardenas,Boise St.,87
Dillon Mitchell,Cincinnati,87
Richie Saunders,BYU,87
Khaman Maluach,Duke,87
Jayden Quaintance,Arizona St.,87
Darius Johnson,UCF,87
Zeke Mayo,Kansas,87
Devin Royal,Ohio St.,87
Tre Johnson,Texas,87
Nolan Winter,Wisconsin,87
Clifford Omoruyi,Alabama,87
Chaz Lanier,Tennessee,87
Steven Crowl,Wisconsin,87
Caleb Grill,Missouri,87
Denver Jones,Auburn,87
