Name,School,Rating
Paige Bueckers,UConn Huskies,99
Serena Sundell,Kansas State Wildcats,98
Georgia Amoore,Kentucky Wildcats,98
Olivia Miles,Notre Dame Fighting Irish,97
Kymora Johnson,Virginia Cavaliers,97
Payton Verhulst,Oklahoma Sooners,97
Katie Dinnebier,Drake Bulldogs,96
Sarah Strong,UConn Huskies,96
Emily Ryan,Iowa State Cyclones,96
Kiki Rice,UCLA Bruins,96
Tonie Morgan,Georgia Tech Yellow Jackets,96
Hailey Van Lith,TCU Horned Frogs,95
O'Mariah Gordon,Florida State Seminoles,95
Ta'Niya Latson,Florida State Seminoles,95
Addy Brown,Iowa State Cyclones,94
Jada Walker,Baylor Bears,94
Megan McConnell,Duquesne Dukes,93
Saniya Rivers,NC State Wolfpack,93
Samara Spencer,Tennessee Lady Volunteers,93
Ally Becki,Ball State Cardinals,92
Harmoni Turner,Harvard Crimson,92
Lacy Stokes,Missouri State Lady Bears,92
Haven Ford,Murray State Racers,92
Sarah Andrews,Baylor Bears,92
Jaelyn Glenn,Kansas State Wildcats,92
Chloe Moore-McNeil,Indiana Hoosiers,92
Hannah Hidalgo,Notre Dame Fighting Irish,92
JuJu Watkins,USC Trojans,92
Zoe Brooks,NC State Wolfpack,92
Melannie Daley,Northwestern Wildcats,92
Paula Suarez,George Mason Patriots,91
Kitty Henderson,Columbia Lions,91
Jordan Harrison,West Virginia Mountaineers,91
Lucy Olsen,Iowa Hawkeyes,91
Rori Harmon,Texas Longhorns,91
Liv McGill,Florida Gators,91
Sonia Citron,Notre Dame Fighting Irish,91
Madison Scott,Ole Miss Rebels,91
Zaay Green,Alabama Crimson Tide,91
Josie Gilvin,Western Kentucky Lady Toppers,90
Katelyn Young,Murray State Racers,90
Cecelia Collins,Columbia Lions,90
Maya McDermott,Northern Iowa Panthers,90
Lauren Jensen,Creighton Bluejays,90
Haley Cavinder,Miami Hurricanes,90
Sedona Prince,TCU Horned Frogs,90
Makayla Timpson,Florida State Seminoles,90
Te-Hina Paopao,South Carolina Gamecocks,90
Grace Larkins,South Dakota Coyotes,89
Kelsie Siegner,Eastern Oregon Mountaineers,89
Emilia Long,Alaska Anchorage Seawolves,89
Makyra Tramble,Oral Roberts Golden Eagles,89
Alexis Mead,Western Kentucky Lady Toppers,89
Tori McKinney,Minnesota Golden Gophers,89
Amaya Battle,Minnesota Golden Gophers,89
Sarah Ashlee Barker,Alabama Crimson Tide,89
Serah Williams,Wisconsin Badgers,89
Grace Grocholski,Minnesota Golden Gophers,89
Dalayah Daniels,Washington Huskies,89
Jayden Marable,Coastal Carolina Chanticleers,88
Kiara Jackson,UNLV Lady Rebels,88
Noelani Cornfield,Buffalo Bulls,88
Jessica Bollwahn,Regis (CO) Rangers,88
Sara Guerreiro,Cleveland State Vikings,88
Isabel Grimes,Montevallo Falcons,88
Alexis Mark,Portland Pilots,88
Laura Ziegler,Saint Joseph's Hawks,88
Maggie Doogan,Richmond Spiders,88
Jasmine Bascoe,Villanova Wildcats,88
Gianna Kneepkens,Utah Utes,88
S'Mya Nichols,Kansas Jayhawks,88
Madison Booker,Texas Longhorns,88
Sayvia Sellers,Washington Huskies,88
Khamil Pierre,Vanderbilt Commodores,88
Mikaylah Williams,LSU Tigers,88
Mikayla Blakes,Vanderbilt Commodores,88
Sira Thienou,Ole Miss Rebels,88
Clara Strack,Kentucky Wildcats,88
Aneesah Morrow,LSU Tigers,88
Yarden Garzon,Indiana Hoosiers,88
Britt Prince,Nebraska Cornhuskers,88
Emilee Hope,Oakland City Mighty Oaks,87
En'Dya Buford,Old Dominion Monarchs,87
Addie Budnik,Richmond Spiders,87
Anaya James,Pacific Tigers,87
Tara Wallack,Washington State Cougars,87
Naudia Evans,Loyola Marymount Lions,87
Jorie Allen,DePaul Blue Demons,87
Ber'Nyah Mayo,St. John's Red Storm,87
Delaney Gibb,BYU Cougars,87
Aziaha James,NC State Wolfpack,87
Elise Williams,Wake Forest Demon Deacons,87
Adalia McKenzie,Illinois Fighting Illini,87
Liatu King,Notre Dame Fighting Irish,87
Ronnie Porter,Wisconsin Badgers,87
Trinity San Antonio,Grand Canyon Lopes,86
Paige Meyer,South Dakota State Jackrabbits,86
Kirsten Lewis-Williams,Buffalo Bulls,86
Emma Ronsiek,Colorado State Rams,86
Derrica McCall,Shorter Hawks,86
Malene Pedersen,Wyoming Cowgirls,86
Hannah Spainhour,Emory & Henry Wasps,86
Anhelica Shanrock,Dickinson State (ND) Blue Hawks,86
Yvonne Ejim,Gonzaga Bulldogs,86
Emme Shearer,Portland Pilots,86
Tuti Jones,Belmont Bruins,86
Leah Earnest,Valparaiso Beacons,86
Molly Mogensen,Creighton Bluejays,86
Madison Conner,TCU Horned Frogs,86
Jerkaila Jordan,Mississippi State Bulldogs,86
Flau'jae Johnson,LSU Tigers,86
Hannah Stines,Washington Huskies,86
Stailee Heard,Oklahoma State Cowgirls,86
Talaysia Cooper,Tennessee Lady Volunteers,86
Jaloni Cambridge,Ohio State Buckeyes,86
Kendall Bostic,Illinois Fighting Illini,86
Chloe Clardy,Stanford Cardinal,86
Asia Avinger,Georgia Lady Bulldogs,86
Zyanna Walker,Kansas State Wildcats,86
Karly Weathers,Alabama Crimson Tide,86
Amelia Hassett,Kentucky Wildcats,86
DeYona Gaston,Auburn Tigers,86
Lexi Donarski,North Carolina Tar Heels,86
Elena Bosgana,Stanford Cardinal,86
Teonni Key,Kentucky Wildcats,86
Julia Ayrault,Michigan State Spartans,86
Avery Brittingham,UT Arlington Mavericks,85
Lachelle Austin,Ball State Cardinals,85
Amy Velasco,Bowling Green Falcons,85
Paige Kohler,Bowling Green Falcons,85
Peyton McDaniel,James Madison Dukes,85
Alice Recanati,Eastern Kentucky Colonels,85
Bella Vinson,Lipscomb Bisons,85
Lili Wilken,Alabama-Huntsville Chargers,85
Kylie Horstmeyer,San Diego Toreros,85
Emani Jefferson,Florida Gulf Coast Eagles,85
Zahirah Walton,George Mason Patriots,85
Ashtyn Barrett,Alice Lloyd College Eagles,85
Liz Smith,Pacific Tigers,85
Grace Arnolie,Brown Bears,85
Anna Miller,Drake Bulldogs,85
Kelsey Ransom,Georgetown Hoyas,85
Halle Vice,Marquette Golden Eagles,85
JJ Quinerly,West Virginia Mountaineers,85
Khadija Faye,Pittsburgh Panthers,85
Skylar Forbes,Marquette Golden Eagles,85
Izzy Higginbottom,Arkansas Razorbacks,85
Deja Kelly,Oregon Ducks,85
Genesis Bryant,Illinois Fighting Illini,85
Amari Whiting,BYU Cougars,85
Carys Baker,Virginia Tech Hokies,85
Latasha Lattimore,Virginia Cavaliers,85
Shyanne Sellers,Maryland Terrapins,85
Kiki Iriafen,USC Trojans,85
Mila Holloway,Michigan Wolverines,85
Olivia Olson,Michigan Wolverines,85
Darianna Littlepage-Buggs,Baylor Bears,85
Kennedy Todd-Williams,Ole Miss Rebels,85
Kayla Williams,California Golden Bears,85
Gabriela Jaquez,UCLA Bruins,85
Taylor Barbot,Charleston Cougars,84
Ashlyn Traylor-Walker,Stephen F. Austin Ladyjacks,84
Anaiyah Tu'ua,California Baptist Lancers,84
Jade Hill,St. Thomas-Minnesota Tommies,84
Amarachi Kimpson,UNLV Lady Rebels,84
Avery Koenen,North Dakota State Bison,84
Jenna Batsch,Kent State Golden Flashes,84
Amellia Bromenschenkel,Purdue Fort Wayne Mastodons,84
Lauren Sansano,Texas Lutheran Bulldogs,84
Sophie Glancey,Northern Arizona Lumberjacks,84
Meghan Mayotte,Ohio Dominican Panthers,84
Esmeralda Morales,Montana State Bobcats,84
Briana Marquez,Northern New Mexico Eagles,84
Emily Mellema,Wyoming Cowgirls,84
Alasia Smith,Memphis Tigers,84
Nevaeh Thomas,Illinois State Redbirds,84
Ta'Mia Scott,Middle Tennessee Blue Raiders,84
Ava Learn,Murray State Racers,84
Ryley Goebel,Northern Iowa Panthers,84
Maya Hernandez,Loyola Marymount Lions,84
Megan Olbrys,Massachusetts Minutewomen,84
Katie Collins,Pennsylvania Quakers,84
Yaya Felder,Baylor Bears,84
Taylor Thierry,Ohio State Buckeyes,84
Faith Masonius,Seton Hall Pirates,84
Ioanna Krimili,California Golden Bears,84
Georgia Woolley,Syracuse Orange,84
Loyal McQueen,Clemson Tigers,84
Essence Cody,Alabama Crimson Tide,84
Skylar Vann,Oklahoma Sooners,84
Kara Dunn,Georgia Tech Yellow Jackets,84
Elle Ladine,Washington Huskies,84
Temira Poindexter,Kansas State Wildcats,84
Laniah Randle,Missouri Tigers,84
Chance Gray,Ohio State Buckeyes,84
Zanai Jones,SMU Mustangs,84
Destiny Adams,Rutgers Scarlet Knights,84
Peyton Carter,Tennessee Tech Golden Eagles,83
Kaitlyn Flanagan,Holy Cross Crusaders,83
Sabria Dean,Lamar Cardinals,83
Kate Novik,Morehead State Eagles,83
Bella Earle,Abilene Christian Wildcats,83
Mya Blake,Northwestern State Lady Demons,83
Koi Love,UT Arlington Mavericks,83
Tiarra Brown,Grand Canyon Lopes,83
Chellia Watson,Buffalo Bulls,83
Taylor Feldman,Northern Arizona Lumberjacks,83
Sydney Freeman,Purdue Fort Wayne Mastodons,83
Kayla Presley,Texas Lutheran Bulldogs,83
Emma Smith,Denver Pioneers,83
Allyson Fertig,Wyoming Cowgirls,83
Benthe Versteeg,Sacramento State Hornets,83
Molly Heard,Lipscomb Bisons,83
Nina De Leon Negron,UTSA Roadrunners,83
Hannah Ronsiek,Colorado State Rams,83
Amber Tretter,Miami (OH) RedHawks,83
Chelby Koker,Northern Illinois Huskies,83
Hope Hassmann,Idaho Vandals,83
Kennedy Johnson,Saint Mary's Gaels,83
Mihjae Hayes,Virginia St Trojans,83
Charity Gallegos,North Alabama Lions,83
Shawntenna Tillman,Coker Cobras,83
Emilee Weakley,Frostburg State Bobcats,83
Ruby Santos,Saint Michael's Purple Knights,83
Abrie Cabana,Grand Valley State Lakers,83
Angelina Dimarsico,Dominican (NY) Chargers,83
Jayda McNabb,Air Force Falcons,83
Halli Poock,Murray State Racers,83
Mataya Gayle,Pennsylvania Quakers,83
Fadima Tall,Princeton Tigers,83
Ashley Chea,Princeton Tigers,83
Jalynn Gregory,Middle Tennessee Blue Raiders,83
Kennedy Calhoun,Saint Louis Billikens,83
Maisie Burnham,Portland Pilots,83
Kendal Cheesman,Belmont Bruins,83
Lee Volker,Marquette Golden Eagles,83
Lashae Dwyer,St. John's Red Storm,83
Sydney Shaw,West Virginia Mountaineers,83
Jillian Hayes,Cincinnati Bearcats,83
Alyssa Ustby,North Carolina Tar Heels,83
Anna Gret Asi,Oklahoma State Cowgirls,83
Kilyn McGuff,Butler Bulldogs,83
Morgan Maly,Creighton Bluejays,83
Theryn Hallock,Michigan State Spartans,83
