Name,School,Rating,School_key,Conf,conf_z,Rating_conf
Ryan Kalkbrenner,Creighton,91.1148166666666,creighton,Big East,2.0829954257165264,104.46098093990712
Johni Broome,Auburn,90.7046333333333,auburn,SEC,2.0829954257165264,103.6517968301254
Collin Murray-Boyles,South Carolina,89.5114333333333,southcarolina,SEC,2.0829954257165264,101.35156813657545
Cooper Flagg,Duke,90.4147666666667,duke,ACC,1.7207353516788697,100.59532523775084
Zuby Ejiofor,St. John's,89.0287166666666,stjohns,Big East,2.0829954257165264,100.44293147372808
Zakai Zeigler,Tennessee,88.5591833333334,tennessee,SEC,2.0829954257165264,99.57082110839691
Hunter Dickinson,Kansas,89.5400499999999,kansas,B12,1.7207353516788697,99.07986372684795
Kam Jones,Marquette,88.1072833333333,marquette,Big East,2.0829954257165264,98.74212503729555
Oumar Ballo,Indiana,88.0700499999999,indiana,Big Ten,2.0829954257165264,98.67430556414813
Walter Clayton Jr.,Florida,87.9953,florida,SEC,2.0829954257165264,98.53835966343702
Derik Queen,Maryland,87.6832666666666,maryland,Big Ten,2.0829954257165264,97.97386732759914
Bruce Thornton,Ohio St.,87.6348,ohiost,Big Ten,2.0829954257165264,97.88661789156356
Danny Wolf,Michigan,87.6038166666666,michigan,Big Ten,2.0829954257165264,97.8309021280268
Vladislav Goldin,Michigan,87.5048333333333,michigan,Big Ten,2.0829954257165264,97.65321945686955
Ja'Kobi Gillespie,Maryland,87.3693,maryland,Big Ten,2.0829954257165264,97.41069936194398
Nate Bittle,Oregon,87.3229,oregon,Big Ten,2.0829954257165264,97.32787658561425
Julian Reese,Maryland,87.29945,maryland,Big Ten,2.0829954257165264,97.28605845789939
Trey Kaufman-Renn,Purdue,87.2808666666666,purdue,Big Ten,2.0829954257165264,97.25293781504918
Thomas Sorber,Georgetown,87.10555,georgetown,Big East,2.0829954257165264,96.94129079166704
Dylan Harper,Rutgers,86.9569333333333,rutgers,Big Ten,2.0829954257165264,96.6782552452245
Sean Pedulla,Mississippi,86.6087333333334,mississippi,SEC,2.0829954257165264,96.06606242608117
Braden Smith,Purdue,86.4896500000001,purdue,Big Ten,2.0829954257165264,95.85799491380281
Chucky Hepburn,Louisville,87.5784333333334,louisville,ACC,1.7207353516788697,95.79577732876199
Owen Freeman,Iowa,86.4228833333334,iowa,Big Ten,2.0829954257165264,95.7416248347276
Zach Freemantle,Xavier,86.3950666666667,xavier,Big East,2.0829954257165264,95.69320289205193
Mark Sears,Alabama,86.3845166666667,alabama,SEC,2.0829954257165264,95.67484727915144
Steven Ashworth,Creighton,86.3389833333333,creighton,Big East,2.0829954257165264,95.59568404808137
Alex Condon,Florida,86.3302,florida,SEC,2.0829954257165264,95.58042451221596
Chad Baker-Mazara,Auburn,86.30625,auburn,SEC,2.0829954257165264,95.53883349712387
Norchad Omier,Baylor,87.3023666666666,baylor,B12,1.7207353516788697,95.34570775227769
Kasparas Jakucionis,Illinois,86.1182333333334,illinois,Big Ten,2.0829954257165264,95.21324007415421
Adou Thiero,Arkansas,86.0854,arkansas,SEC,2.0829954257165264,95.15654699532003
Amari Williams,Kentucky,86.0818166666667,kentucky,SEC,2.0829954257165264,95.15036264296529
Alex Karaban,Connecticut,85.9380833333333,connecticut,Big East,2.0829954257165264,94.902777640367
John Tonje,Wisconsin,85.7905333333333,wisconsin,Big Ten,2.0829954257165264,94.649586799672
Brice Williams,Nebraska,85.5652833333333,nebraska,Big Ten,2.0829954257165264,94.2649417632368
Darrion Williams,Texas Tech,86.6005666666667,texastech,B12,1.7207353516788697,94.21442695745658
Kon Knueppel,Duke,86.51125,duke,ACC,1.7207353516788697,94.07175343021787
Ian Schieffelin,Clemson,86.36495,clemson,ACC,1.7207353516788697,93.83868143722637
Milos Uzan,Houston,86.0973500000001,houston,B12,1.7207353516788697,93.41436139169497
KeShawn Murphy,Mississippi St.,85.0609500000001,mississippist,SEC,2.0829954257165264,93.41182922317026
Grant Nelson,Alabama,85.0429333333334,alabama,SEC,2.0829954257165264,93.3815576500066
