"Name","School","Rating"
"Ryan Kalkbrenner","Creighton",91.1148166666666
"Johni Broome","Auburn",90.7046333333333
"Cooper Flagg","Duke",90.4147666666667
"Hunter Dickinson","Kansas",89.5400499999999
"Collin Murray-Boyles","South Carolina",89.5114333333333
"Zuby Ejiofor","St. John's",89.0287166666666
"Yaxel Lendeborg","UAB",88.8305666666666
"Zakai Zeigler","Tennessee",88.5591833333334
"Kam Jones","Marquette",88.1072833333333
"Bent Leuchten","UC Irvine",88.07275
"Oumar Ballo","Indiana",88.0700499999999
"Oscar Cluff","South Dakota St.",88.03475
"Walter Clayton Jr.","Florida",87.9953
"Derik Queen","Maryland",87.6832666666666
"Bruce Thornton","Ohio St.",87.6348
"Danny Wolf","Michigan",87.6038166666666
"Chucky Hepburn","Louisville",87.5784333333334
"Vladislav Goldin","Michigan",87.5048333333333
"Cedric Coward","Washington St.",87.4133666666666
"Ja'Kobi Gillespie","Maryland",87.3693
"Aniwaniwa Tait-Jones","UC San Diego",87.3443
"Nate Bittle","Oregon",87.3229
"Norchad Omier","Baylor",87.3023666666666
"Julian Reese","Maryland",87.29945
"Trey Kaufman-Renn","Purdue",87.2808666666666
"Thomas Sorber","Georgetown",87.10555
"Ryan Nembhard","Gonzaga",87.0804166666667
"Bennett Stirtz","Drake",87.0723666666667
"Nelly Joseph","New Mexico",87.0039666666667
"Dylan Harper","Rutgers",86.9569333333333
"Donovan Dent","New Mexico",86.9028666666668
"Rasheer Fleming","Saint Joseph's",86.85985
"Graham Ike","Gonzaga",86.8084666666667
"Rafael Castro","George Washington",86.7147666666666
"Sean Pedulla","Mississippi",86.6087333333334
"Darrion Williams","Texas Tech",86.6005666666667
"Kon Knueppel","Duke",86.51125
"Braden Smith","Purdue",86.4896500000001
"Max Shulga","VCU",86.45455
"Owen Freeman","Iowa",86.4228833333334
"Zach Freemantle","Xavier",86.3950666666667
"Mark Sears","Alabama",86.3845166666667
"Ian Schieffelin","Clemson",86.36495
"Steven Ashworth","Creighton",86.3389833333333
"Alex Condon","Florida",86.3302
"Chad Baker-Mazara","Auburn",86.30625
"Augustas Marciulionis","Saint Mary's",86.2908333333333
"Kasparas Jakucionis","Illinois",86.1182333333334
"Milos Uzan","Houston",86.0973500000001
"Adou Thiero","Arkansas",86.0854
"Amari Williams","Kentucky",86.0818166666667
