"Name","School","Rating"
"Ryan Kalkbrenner","Creighton",91.9688066539556
"Cooper Flagg","Duke",91.6122596108595
"Johni Broome","Auburn",91.5374692407228
"Collin Murray-Boyles","South Carolina",90.4226906213951
"Hunter Dickinson","Kansas",90.3775040747141
"Zakai Zeigler","Tennessee",89.8341387712566
"Zuby Ejiofor","St. John's",89.7842796968454
"Yaxel Lendeborg","UAB",89.7727372170509
"Kam Jones","Marquette",89.4257920928081
"Walter Clayton Jr.","Florida",89.2731172104677
"Bruce Thornton","Ohio St.",88.9547758711495
"Chucky Hepburn","Louisville",88.9546924677191
"Bent Leuchten","UC Irvine",88.9085920942757
"Oscar Cluff","South Dakota St.",88.8924115635137
"Aniwaniwa Tait-Jones","UC San Diego",88.6263229231171
"Oumar Ballo","Indiana",88.6242408411619
"Derik Queen","Maryland",88.5686039695048
"Ja'Kobi Gillespie","Maryland",88.545234538741
"Bennett Stirtz","Drake",88.4961622807371
"Cedric Coward","Washington St.",88.4722879298559
"Donovan Dent","New Mexico",88.449618704991
"Trey Kaufman-Renn","Purdue",88.4107894052301
"Vladislav Goldin","Michigan",88.3619107202221
"Dylan Harper","Rutgers",88.2596775875259
"Danny Wolf","Michigan",88.2380714524368
"Ryan Nembhard","Gonzaga",88.231078782694
"Norchad Omier","Baylor",88.0488272901551
"Nate Bittle","Oregon",88.0346955960588
"Julian Reese","Maryland",87.9324690398309
"Thomas Sorber","Georgetown",87.8474720634214
"Braden Smith","Purdue",87.8219809017544
"Mark Sears","Alabama",87.8142971837707
"Graham Ike","Gonzaga",87.7687622188305
"Sean Pedulla","Mississippi",87.7479645338609
"Steven Ashworth","Creighton",87.6432872308795
"Darrion Williams","Texas Tech",87.6135920881654
"Nelly Joseph","New Mexico",87.582353899956
"Rasheer Fleming","Saint Joseph's",87.5628375910319
"Kon Knueppel","Duke",87.5447944738688
"Max Shulga","VCU",87.5415251425173
"Augustas Marciulionis","Saint Mary's",87.4595375518061
"Rafael Castro","George Washington",87.358824649369
"Zach Freemantle","Xavier",87.3464182830814
"Chad Baker-Mazara","Auburn",87.2591264114091
"Kasparas Jakucionis","Illinois",87.2222841987694
"Owen Freeman","Iowa",87.2143413477034
"John Tonje","Wisconsin",87.0723249638158
"Nique Clifford","Colorado St.",87.0403742423035
"Ian Schieffelin","Clemson",87.0118525008946
"Adou Thiero","Arkansas",87.00947985062
"Milos Uzan","Houston",86.9839966365195
"Curtis Jones","Iowa St.",86.9640667013886
"Brice Williams","Nebraska",86.9465540324823
"PJ Haggerty","Memphis",86.9265354394387
"Alex Condon","Florida",86.8702907657475
"Alex Karaban","Connecticut",86.7946435146179
"Caleb Love","Arizona",86.6906005091218
"Amari Williams","Kentucky",86.6443757168
"Daniel Batcho","Louisiana Tech",86.6142762366877
"David N'Guessan","Kansas St.",86.6110860416119
"Mitchell Saxen","Saint Mary's",86.4674712830428
"Tamin Lipsey","Iowa St.",86.3004883391687
"Robbie Avila","Saint Louis",86.2796036833401
"Javon Small","West Virginia",86.2725160323911
"Maxime Raynaud","Stanford",86.2484102302215
"Nick Townsend","Yale",86.1996203437157
"Chase Hunter","Clemson",86.1973356795619
"LJ Cryer","Houston",86.1245059502192
"Moe Odum","Pepperdine",86.0062789822081
"Alvaro Cardenas","Boise St.",86.0026568325959
"RJ Davis","North Carolina",85.8779745816863
"Tucker DeVries","West Virginia",85.8684655201058
"Alijah Martin","Florida",85.8210274358582
"Eric Dixon","Villanova",85.7212829249245
"Tyson Degenhart","Boise St.",85.6835715723656
"Dawson Garcia","Minnesota",85.642716664748
"KeShawn Murphy","Mississippi St.",85.6259641544335
"Grant Nelson","Alabama",85.598415587902
"Mason Falslev","Utah St.",85.5706434097683
"Tomislav Ivisic","Illinois",85.4931476477725
"Xaivian Lee","Princeton",85.4559785267428
"Jaden Bradley","Arizona",85.383646025359
"Alvaro Folgueiras","Robert Morris",85.3478693828483
"Chaney Johnson","Auburn",85.328621057549
"Jacksen Moni","North Dakota St.",85.2826254908003
"Arthur Kaluma","Texas",85.2258655849729
"Keshon Gilbert","Iowa St.",85.1886109958829
"Nick Davidson","Nevada",85.1808431501602
"Marcus Williams","San Francisco",85.164960261419
"Josh Hubbard","Mississippi St.",85.089507122935
"Max Brooks","UMass Lowell",85.0749405880336
"Devin McGlockton","Vanderbilt",84.8447876313618
"Dillon Mitchell","Cincinnati",84.8324722157644
"Jacob Ognacevic","Lipscomb",84.8320124638844
"Otega Oweh","Kentucky",84.8023866037856
"Miles Byrd","San Diego St.",84.8009202765807
"Richie Saunders","BYU",84.791140826558
"Lance Ware","UT Arlington",84.7767029453795
"Ante Brzovic","Charleston",84.6895119748547
"Tre Donaldson","Michigan",84.6590611798819
"RJ Luis Jr.","St. John's",84.6344510569981
"Khaman Maluach","Duke",84.6140933520062
"Jayden Quaintance","Arizona St.",84.6092883650123
"Payton Sandfort","Iowa",84.5905104800362
"Andrew Carr","Kentucky",84.5897225014791
"Keonte Jones","Cal St. Northridge",84.5619029292278
