Name,School,Rating,team_key,team_id,conference_id,conf_z,Rating_conf
Paige Bueckers,UConn Huskies,77.02615,uconnhuskies,41,4,1.1815976661979184,79.77507997314018
Serena Sundell,Kansas State Wildcats,75.7787166666667,kansasstatewildcats,2306,8,1.627414016520187,79.23737012430199
Olivia Miles,Notre Dame Fighting Irish,75.1901166666667,notredamefightingirish,87,2,1.7410828106998104,78.69936553239401
Sarah Strong,UConn Huskies,75.94435,uconnhuskies,41,4,1.1815976661979184,78.42026338794912
Payton Verhulst,Oklahoma Sooners,74.7929999999999,oklahomasooners,201,23,2.220381999275397,78.37640502900109
Georgia Amoore,Kentucky Wildcats,74.7723333333334,kentuckywildcats,96,23,2.220381999275397,78.34821806726596
Kymora Johnson,Virginia Cavaliers,74.8126666666667,virginiacavaliers,258,2,1.7410828106998104,78.19067421774773
Kiki Rice,UCLA Bruins,74.50215,uclabruins,26,7,1.8898677492822935,77.98080952484788
Emily Ryan,Iowa State Cyclones,74.74865,iowastatecyclones,66,8,1.627414016520187,77.868140866098
Tonie Morgan,Georgia Tech Yellow Jackets,74.3348666666666,georgiatechyellowjackets,59,2,1.7410828106998104,77.55208098524228
Katie Dinnebier,Drake Bulldogs,76.4396,drakebulldogs,2181,18,0.3818613853103341,77.11580473685146
O'Mariah Gordon,Florida State Seminoles,73.9382833333333,floridastateseminoles,52,2,1.7410828106998104,77.02646599057775
Hailey Van Lith,TCU Horned Frogs,74.0667,tcuhornedfrogs,2628,8,1.627414016520187,76.97583473786126
Addy Brown,Iowa State Cyclones,73.8120999999999,iowastatecyclones,66,8,1.627414016520187,76.64549608577778
Saniya Rivers,NC State Wolfpack,73.5136833333333,ncstatewolfpack,152,2,1.7410828106998104,76.46806862027219
Ta'Niya Latson,Florida State Seminoles,73.4076333333334,floridastateseminoles,52,2,1.7410828106998104,76.329290958834
Jada Walker,Baylor Bears,73.4962333333333,baylorbears,239,8,1.627414016520187,76.23773042226406
Megan McConnell,Duquesne Dukes,75.3163666666667,duquesnedukes,2184,3,0.21493314091272497,75.56833136641639
Chloe Moore-McNeil,Indiana Hoosiers,72.5537833333333,indianahoosiers,84,7,1.8898677492822935,75.38890854900332
Samara Spencer,Tennessee Lady Volunteers,72.4725333333333,tennesseeladyvolunteers,2633,23,2.220381999275397,75.2829270553134
Sarah Andrews,Baylor Bears,72.6765333333333,baylorbears,239,8,1.627414016520187,75.1899466636124
Jaelyn Glenn,Kansas State Wildcats,72.6654166666666,kansasstatewildcats,2306,8,1.627414016520187,75.17583780522756
Ally Becki,Ball State Cardinals,76.5824666666667,ballstatecardinals,2050,14,-0.06421715182798006,75.04009435920742
Lacy Stokes,Missouri State Lady Bears,74.3368333333334,missouristateladybears,2623,18,0.3818613853103341,74.88664127685786
Melannie Daley,Northwestern Wildcats,72.0242,northwesternwildcats,77,7,1.8898677492822935,74.70101858292374
Haven Ford,Murray State Racers,74.0962166666667,murraystateracers,93,18,0.3818613853103341,74.6327632051011
Zoe Brooks,NC State Wolfpack,72.00395,ncstatewolfpack,152,2,1.7410828106998104,74.51750133430892
JuJu Watkins,USC Trojans,71.8447166666666,usctrojans,30,7,1.8898677492822935,74.46941468825595
Madison Scott,Ole Miss Rebels,71.8006833333333,olemissrebels,145,23,2.220381999275397,74.41271119311133
Rori Harmon,Texas Longhorns,71.6874666666666,texaslonghorns,251,23,2.220381999275397,74.2671274138565
Kitty Henderson,Columbia Lions,74.0699,columbialions,171,12,0.1841164774285017,74.2347549556567
Makayla Timpson,Florida State Seminoles,71.7791000000001,floridastateseminoles,52,2,1.7410828106998104,74.23147370403986
Sonia Citron,Notre Dame Fighting Irish,71.7602333333333,notredamefightingirish,87,2,1.7410828106998104,74.20752481695446
Paula Suarez,George Mason Patriots,73.9690833333334,georgemasonpatriots,2244,3,0.21493314091272497,74.18924620943578
Harmoni Turner,Harvard Crimson,73.9676,harvardcrimson,108,12,0.1841164774285017,74.13074713446176
Sedona Prince,TCU Horned Frogs,71.7525333333333,tcuhornedfrogs,2628,8,1.627414016520187,74.02617545746791
Zaay Green,Alabama Crimson Tide,71.4593166666667,alabamacrimsontide,333,23,2.220381999275397,73.97466381348303
Lucy Olsen,Iowa Hawkeyes,71.4039333333333,iowahawkeyes,2294,7,1.8898677492822935,73.9038507422641
Liv McGill,Florida Gators,71.3886,floridagators,57,23,2.220381999275397,73.88425807911057
Hannah Hidalgo,Notre Dame Fighting Irish,71.4764666666667,notredamefightingirish,87,2,1.7410828106998104,73.8482624340832
Jordan Harrison,West Virginia Mountaineers,71.5934666666667,westvirginiamountaineers,277,8,1.627414016520187,73.827620878616
Josie Gilvin,Western Kentucky Lady Toppers,73.7322166666666,westernkentuckyladytoppers,98,11,0.1427033440452017,73.81679683264991
Haley Cavinder,Miami Hurricanes,71.1709666666667,miamihurricanes,2390,2,1.7410828106998104,73.46344091709916
Te-Hina Paopao,South Carolina Gamecocks,71.0319833333333,southcarolinagamecocks,2579,23,2.220381999275397,73.43009867227693
Katelyn Young,Murray State Racers,72.8183666666666,murraystateracers,93,18,0.3818613853103341,73.28838498219777
Cecelia Collins,Columbia Lions,73.0838166666666,columbialions,171,12,0.1841164774285017,73.23274419354904
Lauren Jensen,Creighton Bluejays,71.5874,creightonbluejays,156,4,1.1815976661979184,73.16311490785195
Tori McKinney,Minnesota Golden Gophers,70.7888,minnesotagoldengophers,135,7,1.8898677492822935,73.12204993493366
Serah Williams,Wisconsin Badgers,70.75135,wisconsinbadgers,275,7,1.8898677492822935,73.0747282041912
Alexis Mead,Western Kentucky Lady Toppers,72.9323,westernkentuckyladytoppers,98,11,0.1427033440452017,73.0101476308814
Amaya Battle,Minnesota Golden Gophers,70.6862666666667,minnesotagoldengophers,135,7,1.8898677492822935,72.99256315346052
Dalayah Daniels,Washington Huskies,70.6270333333334,washingtonhuskies,264,7,1.8898677492822935,72.91786499241766
Grace Larkins,South Dakota Coyotes,73.4874166666666,southdakotacoyotes,NA,NA,0,72.80413900733494
Maya McDermott,Northern Iowa Panthers,72.296,northerniowapanthers,2460,18,0.3818613853103341,72.7406494020727
Emilia Long,Alaska Anchorage Seawolves,73.3823333333333,alaskaanchorageseawolves,NA,NA,0,72.70640617835899
Kelsie Siegner,Eastern Oregon Mountaineers,73.2700333333333,easternoregonmountaineers,NA,NA,0,72.60189777353348
Sarah Ashlee Barker,Alabama Crimson Tide,70.34195,alabamacrimsontide,333,23,2.220381999275397,72.55942900965037
Grace Grocholski,Minnesota Golden Gophers,70.3204833333333,minnesotagoldengophers,135,7,1.8898677492822935,72.532510658502
Clara Strack,Kentucky Wildcats,70.3154333333333,kentuckywildcats,96,23,2.220381999275397,72.5261796091831
Makyra Tramble,Oral Roberts Golden Eagles,73.1765666666666,oralrobertsgoldeneagles,NA,NA,0,72.51486606093854
Jessica Bollwahn,Regis (CO) Rangers,73.1003333333333,regiscorangers,NA,NA,0,72.4438477596932
Aneesah Morrow,LSU Tigers,70.1804166666667,lsutigers,99,23,2.220381999275397,72.3571171096232
Alexis Mark,Portland Pilots,72.2469166666666,portlandpilots,2501,29,0.15617675887640683,72.34010508427248
Laura Ziegler,Saint Joseph's Hawks,72.1427833333334,saintjosephshawks,2603,3,0.21493314091272497,72.32466422193144
Jayden Marable,Coastal Carolina Chanticleers,73.39595,coastalcarolinachanticleers,324,27,-0.06224989283771565,72.28238534146476
Madison Booker,Texas Longhorns,70.1090166666666,texaslonghorns,251,23,2.220381999275397,72.26787140158785
Sara Guerreiro,Cleveland State Vikings,72.909,clevelandstatevikings,NA,NA,0,72.26547170049841
Khamil Pierre,Vanderbilt Commodores,70.0231666666666,vanderbiltcommodores,238,23,2.220381999275397,72.16070844196567
Kiara Jackson,UNLV Lady Rebels,72.7581166666666,unlvladyrebels,NA,NA,0,72.12467446203476
Sira Thienou,Ole Miss Rebels,69.9285,olemissrebels,145,23,2.220381999275397,72.04272186492443
Maggie Doogan,Richmond Spiders,71.7931666666667,richmondspiders,257,3,0.21493314091272497,71.96831682953362
Jasmine Bascoe,Villanova Wildcats,70.5349833333333,villanovawildcats,222,4,1.1815976661979184,71.93598444170351
Sayvia Sellers,Washington Huskies,69.7329166666666,washingtonhuskies,264,7,1.8898677492822935,71.79955875366889
Addie Budnik,Richmond Spiders,71.6118166666666,richmondspiders,257,3,0.21493314091272497,71.78354823024225
Mikaylah Williams,LSU Tigers,69.7079666666666,lsutigers,99,23,2.220381999275397,71.76859689908967
Gianna Kneepkens,Utah Utes,69.8817,utahutes,254,8,1.627414016520187,71.72245298738058
Liatu King,Notre Dame Fighting Irish,69.7231999999999,notredamefightingirish,87,2,1.7410828106998104,71.66629891319708
Yarden Garzon,Indiana Hoosiers,69.6191333333332,indianahoosiers,84,7,1.8898677492822935,71.65846408852967
Tara Wallack,Washington State Cougars,71.5578333333333,washingtonstatecougars,265,29,0.15617675887640683,71.64433792970395
