"Name","School","Rating"
"Paige Bueckers","UConn Huskies",77.02615
"Ally Becki","Ball State Cardinals",76.5824666666667
"Katie Dinnebier","Drake Bulldogs",76.4396
"Sarah Strong","UConn Huskies",75.94435
"Serena Sundell","Kansas State Wildcats",75.7787166666667
"Megan McConnell","Duquesne Dukes",75.3163666666667
"Olivia Miles","Notre Dame Fighting Irish",75.1901166666667
"Kymora Johnson","Virginia Cavaliers",74.8126666666667
"Payton Verhulst","Oklahoma Sooners",74.7929999999999
"Georgia Amoore","Kentucky Wildcats",74.7723333333334
"Emily Ryan","Iowa State Cyclones",74.74865
"Kiki Rice","UCLA Bruins",74.50215
"Lacy Stokes","Missouri State Lady Bears",74.3368333333334
"Tonie Morgan","Georgia Tech Yellow Jackets",74.3348666666666
"Haven Ford","Murray State Racers",74.0962166666667
"Kitty Henderson","Columbia Lions",74.0699
"Hailey Van Lith","TCU Horned Frogs",74.0667
"Paula Suarez","George Mason Patriots",73.9690833333334
"Harmoni Turner","Harvard Crimson",73.9676
"O'Mariah Gordon","Florida State Seminoles",73.9382833333333
"Addy Brown","Iowa State Cyclones",73.8120999999999
"Josie Gilvin","Western Kentucky Lady Toppers",73.7322166666666
"Diamond Johnson","Norfolk State Spartans",73.63055
"Saniya Rivers","NC State Wolfpack",73.5136833333333
"Jada Walker","Baylor Bears",73.4962333333333
"Grace Larkins","South Dakota Coyotes",73.4874166666666
"Trinity San Antonio","Grand Canyon Lopes",73.4222166666667
"Ta'Niya Latson","Florida State Seminoles",73.4076333333334
"Jayden Marable","Coastal Carolina Chanticleers",73.39595
"Emilia Long","Alaska Anchorage Seawolves",73.3823333333333
"Kelsie Siegner","Eastern Oregon Mountaineers",73.2700333333333
"Makyra Tramble","Oral Roberts Golden Eagles",73.1765666666666
"Jessica Bollwahn","Regis (CO) Rangers",73.1003333333333
"Cecelia Collins","Columbia Lions",73.0838166666666
"Alexis Mead","Western Kentucky Lady Toppers",72.9323
"Sara Guerreiro","Cleveland State Vikings",72.909
"Avery Brittingham","UT Arlington Mavericks",72.9056833333333
"Taylor Barbot","Charleston Cougars",72.8935833333333
"Ny'Ceara Pryor","Sacred Heart Pioneers",72.8910166666667
"Katelyn Young","Murray State Racers",72.8183666666666
"Kiara Jackson","UNLV Lady Rebels",72.7581166666666
"Noelani Cornfield","Buffalo Bulls",72.6809
"Sarah Andrews","Baylor Bears",72.6765333333333
"Jaelyn Glenn","Kansas State Wildcats",72.6654166666666
"Chloe Moore-McNeil","Indiana Hoosiers",72.5537833333333
"Samara Spencer","Tennessee Lady Volunteers",72.4725333333333
"Maya McDermott","Northern Iowa Panthers",72.296
"Alexis Mark","Portland Pilots",72.2469166666666
"Laura Ziegler","Saint Joseph's Hawks",72.1427833333334
"Ashlyn Traylor-Walker","Stephen F. Austin Ladyjacks",72.0901166666667
"Melannie Daley","Northwestern Wildcats",72.0242
"Peyton Carter","Tennessee Tech Golden Eagles",72.0144833333333
"En'Dya Buford","Old Dominion Monarchs",72.0137333333333
"Zoe Brooks","NC State Wolfpack",72.00395
"Isabel Grimes","Montevallo Falcons",71.8921999999999
"JuJu Watkins","USC Trojans",71.8447166666666
"Emilee Hope","Oakland City Mighty Oaks",71.8274833333333
"Madison Scott","Ole Miss Rebels",71.8006833333333
"Maggie Doogan","Richmond Spiders",71.7931666666667
"Makayla Timpson","Florida State Seminoles",71.7791000000001
"Sonia Citron","Notre Dame Fighting Irish",71.7602333333333
"Sedona Prince","TCU Horned Frogs",71.7525333333333
"Rori Harmon","Texas Longhorns",71.6874666666666
"Kaitlyn Flanagan","Holy Cross Crusaders",71.6864166666667
"Addie Budnik","Richmond Spiders",71.6118166666666
"Jordan Harrison","West Virginia Mountaineers",71.5934666666667
"Lauren Jensen","Creighton Bluejays",71.5874
"Tara Wallack","Washington State Cougars",71.5578333333333
"Hannah Hidalgo","Notre Dame Fighting Irish",71.4764666666667
"Zaay Green","Alabama Crimson Tide",71.4593166666667
"Lucy Olsen","Iowa Hawkeyes",71.4039333333333
"Liv McGill","Florida Gators",71.3886
"Anna Foley","Quinnipiac Bobcats",71.3853499999999
"Hannah Spainhour","Emory & Henry Wasps",71.3192999999999
"Kate Novik","Morehead State Eagles",71.2860166666666
"Kirsten Lewis-Williams","Buffalo Bulls",71.2674833333333
"Anaiyah Tu'ua","California Baptist Lancers",71.23805
"Kaety L'Amoreaux","Fairfield Stags",71.2168333333333
"Haley Cavinder","Miami Hurricanes",71.1709666666667
"Paige Meyer","South Dakota State Jackrabbits",71.1662833333333
"Sabria Dean","Lamar Cardinals",71.1524166666666
"Anaya James","Pacific Tigers",71.0660666666666
"Derrica McCall","Shorter Hawks",71.0381166666666
"Te-Hina Paopao","South Carolina Gamecocks",71.0319833333333
"Emma Ronsiek","Colorado State Rams",71.0313999999999
"Malene Pedersen","Wyoming Cowgirls",71.0194666666666
"Bella Earle","Abilene Christian Wildcats",70.8456166666667
"Lachelle Austin","Ball State Cardinals",70.7936166666666
"Tori McKinney","Minnesota Golden Gophers",70.7888
"Serah Williams","Wisconsin Badgers",70.75135
"Amaya Battle","Minnesota Golden Gophers",70.6862666666667
"Naudia Evans","Loyola Marymount Lions",70.6573666666667
"Ali Saunders","Southern Indiana Screaming Eagles",70.6345166666666
"Dalayah Daniels","Washington Huskies",70.6270333333334
"Angel Jones","Coppin State Eagles",70.5932
"Yvonne Ejim","Gonzaga Bulldogs",70.5548166666667
"Jasmine Bascoe","Villanova Wildcats",70.5349833333333
"Koi Love","UT Arlington Mavericks",70.4927666666667
"Nitzan Amar","Manhattan Jaspers",70.4504
"Peyton McDaniel","James Madison Dukes",70.4352833333333
"Mya Blake","Northwestern State Lady Demons",70.39225
"Meghan Andersen","Fairfield Stags",70.3685333333333
"Paige Kohler","Bowling Green Falcons",70.3495
"Sarah Ashlee Barker","Alabama Crimson Tide",70.34195
"Tuti Jones","Belmont Bruins",70.3272166666667
"Grace Grocholski","Minnesota Golden Gophers",70.3204833333333
"Clara Strack","Kentucky Wildcats",70.3154333333333
"Kierra Wheeler","Norfolk State Spartans",70.2740833333333
"Tate Walters","Furman Paladins",70.27365
"Anhelica Shanrock","Dickinson State (ND) Blue Hawks",70.2469333333333
"Bella Vinson","Lipscomb Bisons",70.1815
"Aneesah Morrow","LSU Tigers",70.1804166666667
"Emme Shearer","Portland Pilots",70.1708
"Madison Booker","Texas Longhorns",70.1090166666666
"Alice Recanati","Eastern Kentucky Colonels",70.0637666666667
"Khamil Pierre","Vanderbilt Commodores",70.0231666666666
"Amy Velasco","Bowling Green Falcons",69.9959333333333
"Macy McGlone","Eastern Illinois Panthers",69.9924666666667
"Zahirah Walton","George Mason Patriots",69.9701999999999
"Kylie Horstmeyer","San Diego Toreros",69.9596666666667
"Leah Earnest","Valparaiso Beacons",69.9518166666666
"Emani Jefferson","Florida Gulf Coast Eagles",69.9512166666666
"Jordyn Dorsey","North Carolina A&T Aggies",69.9472166666666
"Tiarra Brown","Grand Canyon Lopes",69.9386166666666
"Sira Thienou","Ole Miss Rebels",69.9285
"Avery Koenen","North Dakota State Bison",69.9250666666667
"Zanai Barnett-Gay","Navy Midshipmen",69.8996333333333
"Gianna Kneepkens","Utah Utes",69.8817
"Ber'Nyah Mayo","St. John's Red Storm",69.8655333333333
"Jorie Allen","DePaul Blue Demons",69.8564
"Sophie Glancey","Northern Arizona Lumberjacks",69.8008666666666
"Ashley Hawkins","Gardner-Webb Runnin' Bulldogs",69.76845
"Amellia Bromenschenkel","Purdue Fort Wayne Mastodons",69.7546666666667
"Sayvia Sellers","Washington Huskies",69.7329166666666
"Liatu King","Notre Dame Fighting Irish",69.7231999999999
"Mikaylah Williams","LSU Tigers",69.7079666666666
"Anna Miller","Drake Bulldogs",69.6248666666667
"Alasia Smith","Memphis Tigers",69.6197833333333
"Yarden Garzon","Indiana Hoosiers",69.6191333333332
"Trinity Moore","Stephen F. Austin Ladyjacks",69.6106833333333
"Lili Wilken","Alabama-Huntsville Chargers",69.6018666666667
"S'Mya Nichols","Kansas Jayhawks",69.5308166666666
"Ashtyn Barrett","Alice Lloyd College Eagles",69.5135333333333
"Britt Prince","Nebraska Cornhuskers",69.505
"Liz Smith","Pacific Tigers",69.49895
