"Name","School","Rating"
"Paige Bueckers","UConn Huskies",78.0412739041057
"Katie Dinnebier","Drake Bulldogs",77.9201859004937
"Ally Becki","Ball State Cardinals",77.3271003689819
"Serena Sundell","Kansas State Wildcats",76.5566466755842
"Sarah Strong","UConn Huskies",76.216969750758
"Megan McConnell","Duquesne Dukes",76.2122521806629
"Georgia Amoore","Kentucky Wildcats",76.1421545704849
"Olivia Miles","Notre Dame Fighting Irish",75.9553709669498
"Kymora Johnson","Virginia Cavaliers",75.7199305217261
"Payton Verhulst","Oklahoma Sooners",75.3555852869623
"Emily Ryan","Iowa State Cyclones",75.2944356792816
"Kiki Rice","UCLA Bruins",75.179054196168
"Harmoni Turner","Harvard Crimson",75.1274060612737
"Lacy Stokes","Missouri State Lady Bears",75.0751176640519
"Tonie Morgan","Georgia Tech Yellow Jackets",75.0492354322748
"Hailey Van Lith","TCU Horned Frogs",75.0193624998206
"Haven Ford","Murray State Racers",74.8626801209067
"O'Mariah Gordon","Florida State Seminoles",74.817025661683
"Paula Suarez","George Mason Patriots",74.6812914818433
"Ta'Niya Latson","Florida State Seminoles",74.6755518626108
"Kitty Henderson","Columbia Lions",74.65802736652
"Diamond Johnson","Norfolk State Spartans",74.6062098996857
"Grace Larkins","South Dakota Coyotes",74.4511143756502
"Kelsie Siegner","Eastern Oregon Mountaineers",74.4213563550844
"Trinity San Antonio","Grand Canyon Lopes",74.4124632057878
"Emilia Long","Alaska Anchorage Seawolves",74.3762818823687
"Addy Brown","Iowa State Cyclones",74.3003552240399
"Jada Walker","Baylor Bears",74.2665328449549
"Josie Gilvin","Western Kentucky Lady Toppers",74.1227171307587
"Ny'Ceara Pryor","Sacred Heart Pioneers",73.9084926255688
"Jayden Marable","Coastal Carolina Chanticleers",73.8177119345525
"Saniya Rivers","NC State Wolfpack",73.7422496307306
"Katelyn Young","Murray State Racers",73.6803709065798
"Makyra Tramble","Oral Roberts Golden Eagles",73.6795848326892
"Cecelia Collins","Columbia Lions",73.650759393146
"Taylor Barbot","Charleston Cougars",73.6360479361841
"Alexis Mead","Western Kentucky Lady Toppers",73.6335540574108
"Maya McDermott","Northern Iowa Panthers",73.5043228649372
"Kiara Jackson","UNLV Lady Rebels",73.472531124225
"Noelani Cornfield","Buffalo Bulls",73.3619494473893
"Sarah Andrews","Baylor Bears",73.3265804467866
"Jessica Bollwahn","Regis (CO) Rangers",73.1942989121046
"Sara Guerreiro","Cleveland State Vikings",73.116012272727
"Jaelyn Glenn","Kansas State Wildcats",73.1001463006351
"Avery Brittingham","UT Arlington Mavericks",73.0729840097812
"Samara Spencer","Tennessee Lady Volunteers",73.0715384735728
"Chloe Moore-McNeil","Indiana Hoosiers",73.0262323982687
"Isabel Grimes","Montevallo Falcons",72.8819003998442
"Emilee Hope","Oakland City Mighty Oaks",72.8225395943643
"Hannah Hidalgo","Notre Dame Fighting Irish",72.7702241255122
"Ashlyn Traylor-Walker","Stephen F. Austin Ladyjacks",72.7384604832379
"JuJu Watkins","USC Trojans",72.7239635961536
"Zoe Brooks","NC State Wolfpack",72.6205177198035
"Melannie Daley","Northwestern Wildcats",72.6132092323259
"En'Dya Buford","Old Dominion Monarchs",72.5642981298988
"Lauren Jensen","Creighton Bluejays",72.5390367614117
"Peyton Carter","Tennessee Tech Golden Eagles",72.5167316432101
"Alexis Mark","Portland Pilots",72.5022358967142
"Jordan Harrison","West Virginia Mountaineers",72.446273468841
"Laura Ziegler","Saint Joseph's Hawks",72.4273337003711
"Lucy Olsen","Iowa Hawkeyes",72.3992567040044
"Rori Harmon","Texas Longhorns",72.3329382038651
"Kaitlyn Flanagan","Holy Cross Crusaders",72.3301809383609
"Liv McGill","Florida Gators",72.3037207216424
"Maggie Doogan","Richmond Spiders",72.2958811657262
"Sonia Citron","Notre Dame Fighting Irish",72.2135629055465
"Madison Scott","Ole Miss Rebels",72.1796143335339
"Zaay Green","Alabama Crimson Tide",72.1705339076911
"Haley Cavinder","Miami Hurricanes",71.9678473026595
"Addie Budnik","Richmond Spiders",71.9494487714996
"Paige Meyer","South Dakota State Jackrabbits",71.9408460289233
"Kaety L'Amoreaux","Fairfield Stags",71.8513003384898
"Kirsten Lewis-Williams","Buffalo Bulls",71.8438613168877
"Sabria Dean","Lamar Cardinals",71.8074278248613
"Anaya James","Pacific Tigers",71.7824147596592
"Emma Ronsiek","Colorado State Rams",71.7492917940852
"Kate Novik","Morehead State Eagles",71.7421408087176
"Derrica McCall","Shorter Hawks",71.7378438892035
"Sedona Prince","TCU Horned Frogs",71.7373444021334
"Anaiyah Tu'ua","California Baptist Lancers",71.6974222770179
"Malene Pedersen","Wyoming Cowgirls",71.6963888937524
"Anna Foley","Quinnipiac Bobcats",71.6694930409435
"Tara Wallack","Washington State Cougars",71.6694913579497
"Makayla Timpson","Florida State Seminoles",71.6471385587946
"Naudia Evans","Loyola Marymount Lions",71.5525918160631
"Hannah Spainhour","Emory & Henry Wasps",71.5109467688055
"Te-Hina Paopao","South Carolina Gamecocks",71.5089343272555
"Anhelica Shanrock","Dickinson State (ND) Blue Hawks",71.4832579201552
"Angel Jones","Coppin State Eagles",71.3924106153175
"Jasmine Bascoe","Villanova Wildcats",71.3577091522355
"Bella Earle","Abilene Christian Wildcats",71.3389132114725
"Lachelle Austin","Ball State Cardinals",71.3130005653294
"Mya Blake","Northwestern State Lady Demons",71.2511917291424
"Tori McKinney","Minnesota Golden Gophers",71.2435453266088
"Ali Saunders","Southern Indiana Screaming Eagles",71.2264904644942
"Amaya Battle","Minnesota Golden Gophers",71.225603462999
"Yvonne Ejim","Gonzaga Bulldogs",71.06603757728
"Amy Velasco","Bowling Green Falcons",71.0363997680802
"Emme Shearer","Portland Pilots",71.0089088550371
"Koi Love","UT Arlington Mavericks",70.9835481517088
"Sarah Ashlee Barker","Alabama Crimson Tide",70.9689317390438
"Paige Kohler","Bowling Green Falcons",70.9672093876824
"Nitzan Amar","Manhattan Jaspers",70.9651719865615
"Serah Williams","Wisconsin Badgers",70.9480317621783
"Tate Walters","Furman Paladins",70.9102572954206
"Ashley Hawkins","Gardner-Webb Runnin' Bulldogs",70.8941445106072
"Grace Grocholski","Minnesota Golden Gophers",70.8532095535559
"Meghan Andersen","Fairfield Stags",70.8462672359937
"Jordyn Dorsey","North Carolina A&T Aggies",70.8134696655406
"Tuti Jones","Belmont Bruins",70.8048091129436
"Gianna Kneepkens","Utah Utes",70.8026777135942
